id_produit,nom_produit,id_alternative,nom_alternative,relation_prix,ecart_prix_pct,prix_produit_ht,prix_alternative_ht,meme_sous_categorie,meme_regime_alcool,meme_producteur,meme_region_documentee,ecart_noblesse,critere_de_rapprochement
PROD-0007,Cookies pépite de chocolat 220 grs,PROD-0021,Sablé éclats de caramel 180 grs,PRIX_EQUIVALENT,-1.1,3.6,3.56,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0007,Cookies pépite de chocolat 220 grs,PROD-0024,Sablés Mamie 220 grs,PRIX_EQUIVALENT,1.4,3.6,3.65,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0007,Cookies pépite de chocolat 220 grs,PROD-0015,Croquentin 220 grs,PRIX_INFERIEUR,-2.8,3.6,3.5,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0007,Cookies pépite de chocolat 220 grs,PROD-0014,Croquenoisettes 180 grs,PRIX_SUPERIEUR,3.6,3.6,3.73,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0008,Coquilles Quinéville 165 grs,PROD-0010,Coquilles de Quinéville trio 165 grs,PRIX_EQUIVALENT,0.0,4.37,4.37,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0008,Coquilles Quinéville 165 grs,PROD-0012,Croquant aux amandes 125 grs,PRIX_EQUIVALENT,-1.6,4.37,4.3,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0008,Coquilles Quinéville 165 grs,PROD-0020,Sablé chocolat enrobage chocolat lait 180 grs,PRIX_SUPERIEUR,3.0,4.37,4.5,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0008,Coquilles Quinéville 165 grs,PROD-0013,Croquenoisette chocolat 180 grs,PRIX_SUPERIEUR,4.1,4.37,4.55,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0008,Coquilles Quinéville 165 grs,PROD-0658,COOKIES AUX ÉCLATS DE CARAMEL,PRIX_INFERIEUR,-4.8,4.37,4.16,OUI,OUI,NON,NON,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0009,Coquilles Quinéville 80 grs mini 50 paquets,PROD-0002,Pailles feuilletées salées 100 grs,PRIX_EQUIVALENT,0.0,2.45,2.45,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0009,Coquilles Quinéville 80 grs mini 50 paquets,PROD-0011,Coquilles trio 80 grs mini 50 paquets,PRIX_EQUIVALENT,0.0,2.45,2.45,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0009,Coquilles Quinéville 80 grs mini 50 paquets,PROD-0003,Palets Camembert du Cotentin pavot 100 grs,PRIX_SUPERIEUR,2.0,2.45,2.5,OUI,OUI,OUI,NON,1,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0009,Coquilles Quinéville 80 grs mini 50 paquets,PROD-0022,Sablé éclats caramel 110 grs mini 50 paquets,PRIX_SUPERIEUR,2.0,2.45,2.5,OUI,OUI,OUI,OUI,1,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0009,Coquilles Quinéville 80 grs mini 50 paquets,PROD-0001,Apéro tomate/paprika 100 grs,PRIX_INFERIEUR,-12.2,2.45,2.15,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0010,Coquilles de Quinéville trio 165 grs,PROD-0008,Coquilles Quinéville 165 grs,PRIX_EQUIVALENT,0.0,4.37,4.37,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0010,Coquilles de Quinéville trio 165 grs,PROD-0012,Croquant aux amandes 125 grs,PRIX_EQUIVALENT,-1.6,4.37,4.3,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0010,Coquilles de Quinéville trio 165 grs,PROD-0020,Sablé chocolat enrobage chocolat lait 180 grs,PRIX_SUPERIEUR,3.0,4.37,4.5,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0010,Coquilles de Quinéville trio 165 grs,PROD-0013,Croquenoisette chocolat 180 grs,PRIX_SUPERIEUR,4.1,4.37,4.55,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0010,Coquilles de Quinéville trio 165 grs,PROD-0658,COOKIES AUX ÉCLATS DE CARAMEL,PRIX_INFERIEUR,-4.8,4.37,4.16,OUI,OUI,NON,NON,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
